var1(t-4);var1(t-3);var1(t-2);var1(t-1);var1(t)
6.0;0.0;36.0;66.0;30.0
0.0;36.0;66.0;30.0;30.0
36.0;66.0;30.0;30.0;0.0
66.0;30.0;30.0;0.0;0.0
30.0;30.0;0.0;0.0;2686.0
30.0;0.0;0.0;2686.0;0.0
0.0;0.0;2686.0;0.0;18.0
0.0;2686.0;0.0;18.0;105.0
2686.0;0.0;18.0;105.0;72.0
0.0;18.0;105.0;72.0;36.0
18.0;105.0;72.0;36.0;33.0
105.0;72.0;36.0;33.0;117.0
72.0;36.0;33.0;117.0;248.0
36.0;33.0;117.0;248.0;24.0
33.0;117.0;248.0;24.0;0.0
117.0;248.0;24.0;0.0;0.0
248.0;24.0;0.0;0.0;0.0
24.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;2804.0
0.0;0.0;0.0;2804.0;760.0
0.0;0.0;2804.0;760.0;62.0
0.0;2804.0;760.0;62.0;0.0
2804.0;760.0;62.0;0.0;0.0
760.0;62.0;0.0;0.0;0.0
62.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;1796.0
0.0;0.0;0.0;1796.0;1237.0
0.0;0.0;1796.0;1237.0;2765.0
0.0;1796.0;1237.0;2765.0;150.0
1796.0;1237.0;2765.0;150.0;12.0
1237.0;2765.0;150.0;12.0;0.0
2765.0;150.0;12.0;0.0;0.0
150.0;12.0;0.0;0.0;0.0
12.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;18.0
0.0;0.0;0.0;18.0;1092.0
0.0;0.0;18.0;1092.0;1043.0
0.0;18.0;1092.0;1043.0;535.0
18.0;1092.0;1043.0;535.0;755.0
1092.0;1043.0;535.0;755.0;803.0
1043.0;535.0;755.0;803.0;404.0
535.0;755.0;803.0;404.0;571.0
755.0;803.0;404.0;571.0;540.0
803.0;404.0;571.0;540.0;630.0
404.0;571.0;540.0;630.0;492.0
571.0;540.0;630.0;492.0;779.0
540.0;630.0;492.0;779.0;487.0
630.0;492.0;779.0;487.0;1229.0
492.0;779.0;487.0;1229.0;407.0
779.0;487.0;1229.0;407.0;177.0
487.0;1229.0;407.0;177.0;339.0
1229.0;407.0;177.0;339.0;629.0
407.0;177.0;339.0;629.0;1226.0
177.0;339.0;629.0;1226.0;0.0
339.0;629.0;1226.0;0.0;135.0
629.0;1226.0;0.0;135.0;754.0
1226.0;0.0;135.0;754.0;343.0
0.0;135.0;754.0;343.0;724.0
135.0;754.0;343.0;724.0;501.0
754.0;343.0;724.0;501.0;822.0
343.0;724.0;501.0;822.0;193.0
724.0;501.0;822.0;193.0;213.0
501.0;822.0;193.0;213.0;144.0
